animal_id,yr,animal_yr,avg_biom_herd,avg_dn_herd,avg_de_herd,avg_mosq_herd,alive_june1,Next_Yr_Calf_Present,Current_Calf_Present,avg_dist_m,avg_sinuosity,avg_biom,avg_dn,avg_de,HR_area_km2,centroid_x,centroid_y,resource_vol,move_vol,avg_dist_m_unscaled,avg_sinuosity_unscaled,avg_biom_unscaled,avg_dn_unscaled,avg_de_unscaled,HR_area_km2_unscaled,centroid_x_unscaled,centroid_y_unscaled,resource_vol_unscaled,move_vol_unscaled
1548,2016,1548_2016,0.2845489914447802,0.08590013174867235,0.9843157316210429,0.8889373059061495,1,1,NA,1.0756087321898107,-1.1138178056850034,-1.0752848019377002,0.9864746218515216,0.8574827207051136,0.4333013271710528,-0.6743989072774597,0.7753698500202919,-0.8099262991916034,-0.9738277982027272,16137.36911765902,0.03384365475399299,17.681659240947877,1.2935908803532359,10.756495782527237,989.7898344558295,-149.76476616730625,70.28227810509587,0.22743681357238923,3.5989112526641525
1548,2017,1548_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,1,0,1,-0.18133532105008918,-0.03887500118501696,-1.0998992865004986,1.0155371487650278,0.9269401551135995,-0.7189334956890474,-0.2664026256411304,0.8131141374441129,-0.7586255444787421,-0.09533481146633249,12789.967072365358,0.04159562767330884,17.330142181575923,1.300769352103314,10.794242242724211,701.8503988540323,-149.30918304189746,70.2866148397202,0.665800499657539,6.370194675938049
1548,2018,1548_2018,-1.0786737894233973,0.2853942487002068,-1.761855206375396,-0.9002796531579359,0,NA,0,0.23406006147903258,-0.43475025081204866,-0.44749432749568135,0.9245126837015917,1.1487432459887919,-0.12671302903451462,0.7529765595606169,-0.8554927494098693,-0.7247371763594436,-0.2960846174061941,13896.217863320917,0.03874076488275914,26.64707393060216,1.2782862227811977,10.914780549567624,849.8442136018473,-148.17090807206614,70.09489562193863,0.9553757709636739,5.736911749578699
1551,2015,1551_2015,2.4943481240451852,-2.7006364869865735,0.5855930365154589,0.9315060313652197,1,NA,1,0.35724059821434084,-0.44930073483495725,-0.45483773287560064,0.9494989312274811,1.0583280356084357,-0.8029266805304758,-0.4614028907161791,0.3189087210637482,-0.7023324338808823,-0.8077734146832737,14224.263315738077,0.03863583375745988,26.542203472789417,1.284457849651045,10.865644641095223,680.8607969449301,-149.5269272572666,70.22983173724212,1.1468237438767968,4.122744416226462
1551,2016,1551_2016,0.2845489914447802,0.08590013174867235,0.9843157316210429,0.8889373059061495,1,0,NA,1.9057321695446654,-1.0577674297124215,-0.3051245985378656,0.9256133623213982,0.8456734591847221,1.8696564247439407,-0.6289677019698642,0.05110783948583708,-0.5167871904469677,-0.38009524082171936,18348.09352093323,0.0342478632335865,28.68024217912484,1.2785580914456711,10.75007807038841,1348.7299288823258,-149.7140360713796,70.19906201194503,2.732303281215185,5.471892846109397
1551,2017,1551_2017,-0.39290908841882816,0.8720871165243094,-0.10680811517783818,0.9842994238102594,1,0,0,0.8783766652113211,0.12287226235833287,-0.18300203747571672,0.5362161726160468,1.0852973951638403,0.5213255487904689,-0.2763830642737466,0.6745717435147084,-0.689477391421507,0.6392048837083154,15612.115012116676,0.042762071507820326,30.42426259271573,1.182376615754354,10.880301068670837,1011.7867782988117,-149.32032755382036,70.27069662698658,1.256669765223147,8.687364774855391
1551,2018,1551_2018,-1.0786737894233973,0.2853942487002068,-1.761855206375396,-0.9002796531579359,1,NA,0,-0.2592287430745253,0.03804991421281634,0.00570573191157648,0.552823530501522,0.782859601468391,-0.4587298018944578,0.9003687014826595,-2.02545836121126,-0.6746185927394014,-0.539850130838204,12582.52697228498,0.04215037333836964,33.119179888522815,1.18647864892508,10.715942044485642,766.8743881019374,-148.00632477633553,69.96046917692449,1.3836378341637008,4.96793198908041
1553,2015,1553_2015,2.4943481240451852,-2.7006364869865735,0.5855930365154589,0.9315060313652197,1,NA,1,0.18338071405450487,-0.6310260130214275,-0.16849294332729187,0.6715172068305574,0.9621361746536004,-0.894959473270794,-0.45325634673822546,0.6036027352515552,-0.6390454430844986,-0.8798144184986475,13761.252308739759,0.03732531804503374,30.631465554703137,1.215796099708925,10.813369427049007,657.8621252568745,-149.51783053718898,70.26254244588009,1.6876095222151524,3.895484730965635
1553,2016,1553_2016,0.2845489914447802,0.08590013174867235,0.9843157316210429,0.8889373059061495,1,1,NA,1.7165976633264282,-1.1322305642794142,-0.4721055510694579,0.29623616413188403,1.367155284522848,0.9814221537817875,-0.2506287499247126,0.6449612520195551,-0.4153807696370105,-0.0962177820192089,17844.404250660118,0.033710870753396634,26.295603441097178,1.1231013257352171,11.033475997927843,1126.7633040339556,-149.29156937255254,70.26729444741252,3.598818650584795,6.367409267638416
1554,2015,1554_2015,2.4943481240451852,-2.7006364869865735,0.5855930365154589,0.9315060313652197,1,0,1,-1.0743291556432932,0.9306712285412782,-0.01283956385023363,0.2966316883247932,0.860521038190566,-1.35908761612201,-0.45135006909450687,1.4011358966668412,0.3905907932105745,-0.8362944455059819,10411.810796716547,0.04858753094983626,32.8543363239646,1.123199020586519,10.758146948180087,541.878132369241,-149.51570191992968,70.35417723120072,10.485825813485292,4.032772314995138
1554,2016,1554_2016,0.2845489914447802,0.08590013174867235,0.9843157316210429,0.8889373059061495,1,0,0,0.9250495533668648,-0.544468766582526,0.4575754059604931,-0.22307935661244016,0.46531513790539386,0.14534454240560515,0.7904977133914721,-0.744251988397204,3.056459871027213,-0.6929763518856874,15736.410855570426,0.03794952747046175,39.5722867425702,0.9948298988859662,10.54337334026086,917.8304452427348,-148.12901062029857,70.10767693781045,33.26561145432199,4.484881851555749
1555,2015,1555_2015,2.4943481240451852,-2.7006364869865735,0.5855930365154589,0.9315060313652197,0,NA,1,-0.7242318320348082,0.2008031493150846,1.0489038443714411,-0.4484645259693165,-0.5719383152320419,0.46130333835173504,-0.8114334784500279,0.7956003675751597,0.0862950853931348,0.6067100785317944,11344.164543152712,0.04332407175819459,48.01699064294688,0.9391595479928717,9.979680677028215,996.7874387072502,-149.91778383201012,70.2846025465395,7.885626481421645,8.584857052781533
