animal_id,yr,animal_yr,avg_biom_herd,avg_dn_herd,avg_de_herd,avg_fly_herd,alive_june1,Next_Yr_Calf_Present,Current_Calf_Present,avg_dist_m,avg_sinuosity,avg_biom,avg_dn,avg_de,HR_area_km2,centroid_x,centroid_y,resource_vol,move_vol,avg_dist_m_unscaled,avg_sinuosity_unscaled,avg_biom_unscaled,avg_dn_unscaled,avg_de_unscaled,HR_area_km2_unscaled,centroid_x_unscaled,centroid_y_unscaled,resource_vol_unscaled,move_vol_unscaled
1551,2018,1551_2018,-1.464029229611552,0.9395683079512698,-1.676981914319078,-0.08191650624199141,1,NA,0,0.34181141134040305,-0.5098423974664791,-0.12212029944297126,0.6273522323463592,0.9721701659700538,-0.04130435582546175,1.454248609150668,-0.3713443476474588,-0.671608040374178,-0.9117924298475751,13507.936431644435,0.04032203857129128,31.10264456041303,1.2057532558273485,10.839313500871894,843.6803203790802,-146.74072597502024,69.52215519904416,1.3371879633296055,2.6101858760088903
1553,2015,1553_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,1,NA,1,-0.18809086514007148,-0.2113293508829778,-0.1972377781783796,0.4958590321691065,0.999059651637826,-0.5345413134629052,-1.0268055697625418,0.496504754150765,-0.462200034444396,-0.9077221186672434,11901.780450676968,0.04262867249226139,30.105958801815042,1.172621175564498,10.852713283543057,634.7331541570846,-150.62165377222163,69.76540071650379,3.4116326530374854,2.619567058976614
1553,2016,1553_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,1,NA,1.4948477699095657,-1.451366653033951,-0.13376937589347354,0.3162819436828224,1.0516753131931287,1.1269672418969507,-0.32035171202328677,-1.5837668583516236,-0.5104750042846145,-0.24193311633867895,17002.837898928563,0.033046806181404535,30.948080419090726,1.1273734935469009,10.878933139089998,1338.588570748213,-149.51660075191984,69.1823307521618,2.9334095097235235,4.154066062129805
1554,2015,1554_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,1,0,1,-0.4679183525444776,0.44353423303723827,-0.09599315494511468,0.2854167731261892,0.8796744100230608,-0.6619252069754924,-0.7101867009902325,-0.015146096405311673,-0.32907486250454115,-0.8172069484273528,11053.611623173834,0.04768885519973945,31.449308922319663,1.1195964578763837,10.79322027904504,580.7702400655089,-150.12639051703744,69.62199240318724,4.730401745799305,2.828184861339785
1554,2016,1554_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,0,0,-1.1483294160037638,0.7331081755605487,1.765905317808728,-0.6960806692265014,-1.5235055998211793,-1.2116941426333554,0.7486373724487227,-0.575722105430418,-0.10768535656029528,-0.33060908107528447,8991.257208789966,0.04992641595662408,56.153648351571015,0.8722904983744765,9.595648475349604,347.87475361854473,-147.84446094615004,69.46487107747724,6.92353797726263,3.9496872288717313
1555,2015,1555_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,0,NA,1,-1.7721422497729307,1.3314039294528046,1.0451798489958135,-0.7325467992096004,0.07205711108042892,-0.20417356817616988,-1.5431159497517912,0.3479430834402252,1.996348517133279,-0.26521203136161015,7100.454397718196,0.054549494567408444,46.59080328917297,0.8631022000910145,10.390761994010848,774.6849625525006,-151.42927954787544,69.72376103468379,27.766589688058694,4.100413220505444
1556,2015,1556_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,0,NA,NA,-0.9940482145335569,1.4874905346274176,0.9804328308135066,-0.631905534315632,-0.1381659318455156,-1.192877313636805,-0.9772141782823777,0.6868075859593634,2.8170064395313155,-0.017933228117738998,9458.889988437688,0.055755588110807795,45.73171653572511,0.8884605795488641,10.286001972845607,355.84601983295346,-150.54408166140962,69.81873984043835,35.89621902876382,4.670337138971399
1557,2015,1557_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,NA,NA,1,0.35887511333053645,-0.5474764011133995,0.5895636282209038,-0.7509261026000349,1.6282194253749982,0.11920813040641726,0.7455258592313027,-0.9606741178749764,2.537955924962625,-0.1584565395873269,13559.65722663881,0.040031237648559696,40.54552319887441,0.8584712035506131,11.166241193212992,911.6773117279137,-147.84932805394618,69.35697461106369,33.131879358286376,4.346461435684468
1559,2015,1559_2015,1.2409465571860478,-2.1338385720625834,1.16251416824011,-1.6737188120856572,1,NA,1,-0.7555457944551192,0.5454768267531502,0.2558973583750668,-0.6461935937148725,2.4507454725806173,-0.8743162811219617,-0.8537887724864754,0.401420525720172,1.4538613271512666,-0.05667270594222211,10181.800807067306,0.048476573684234636,36.11831897319399,0.8848604456242363,11.576128924428913,490.796217668,-150.35101651502737,69.73874998621102,22.39258469003542,4.581051059002466
1559,2016,1559_2016,1.1537994945262657,-0.8009091688172254,0.08129318984704377,-1.3696155774678103,1,0,NA,0.6737148215346744,-1.1024753570563204,0.542559577836414,-0.614933103577051,1.9860929586999325,-0.3809266621413645,-0.5369080584937616,-2.333268327937667,3.651615320467819,-0.4274608146429223,14513.949560947665,0.03574271681996389,39.92185653163096,0.8927370891837982,11.344579582781478,699.8080549462692,-149.8553436749163,68.97225635970297,44.16404982804241,3.726465024699822
